rank,tier,tic,ra,dec,tmag,teff,logg,rad,rad_err,mass,rho,lumclass,contratio,gaia_dr2,n_sectors,sectors,pred_cdpp_1h_ppm,pred_rmin_p1_rearth,pred_rmin_p5_rearth,pred_rmin_p10_rearth,reason
2568,1,149424445,84.8354181570035,-61.357913716424,14.6911,3361.0,4.9928,0.245229,0.00769257,0.215715,14.6273,DWARF,0.003900877,4759220039127707648,26,1 2 3 4 5 6 7 8 9 10 11 12 13 27 28 29 30 31 32 33 34 35 36 37 38 39,6669,1.51,1.99,2.24,"late M dwarf, R 0.25 R_sun, Teff 3361 K, Tmag 14.69; 26 TGLC sectors (S1-S39); contamination 0.00 (low); not a TOI, CTOI, confirmed host or known EB; a 2.0 R_earth planet at P = 5 d should reach SNR 10 (predicted)"
2569,1,453616053,155.896998514791,-77.4054336616826,14.7289,2992.0,5.17539,0.149266,0.00457733,0.121686,36.5896,DWARF,0.068173185,5204016885345957248,5,11 12 37 38 39,6898,1.51,1.99,2.25,"late M dwarf, R 0.15 R_sun, Teff 2992 K, Tmag 14.73; 5 TGLC sectors (S11-S39); contamination 0.07 (low); not a TOI, CTOI, confirmed host or known EB; a 2.0 R_earth planet at P = 5 d should reach SNR 10 (predicted)"
2570,1,281542064,6.84770631647567,-54.0294585803138,14.7467,2815.0,5.24035,0.126808,0.00374535,0.101994,50.019,DWARF,0.0011397585,4923251780829182080,3,2 28 29,7009,1.51,1.99,2.24,"late M dwarf, R 0.13 R_sun, Teff 2815 K, Tmag 14.75; 3 TGLC sectors (S2-S29); contamination 0.00 (low); not a TOI, CTOI, confirmed host or known EB; a 2.0 R_earth planet at P = 5 d should reach SNR 10 (predicted)"
2571,1,55523742,72.207446506519,-62.9119874957615,14.7759,3348.0,5.00745,0.234886,0.0072608,0.204689,15.7951,DWARF,0.00589819858,4665054697933146752,26,1 2 3 4 5 6 7 8 9 10 11 12 13 27 28 29 30 31 32 33 34 35 36 37 38 39,7196,1.51,1.99,2.24,"late M dwarf, R 0.23 R_sun, Teff 3348 K, Tmag 14.78; 26 TGLC sectors (S1-S39); contamination 0.01 (low); not a TOI, CTOI, confirmed host or known EB; a 2.0 R_earth planet at P = 5 d should reach SNR 10 (predicted)"
2572,1,391899931,115.724836303919,-68.2759579071632,14.789,3094.0,5.00913,0.233734,0.00726183,0.203472,15.9345,DWARF,0.0363256559,5274009562186911232,26,1 2 3 4 5 6 7 8 9 10 11 12 13 27 28 29 30 31 32 33 34 35 36 37 38 39,7282,1.51,1.99,2.24,"late M dwarf, R 0.23 R_sun, Teff 3094 K, Tmag 14.79; 26 TGLC sectors (S1-S39); contamination 0.04 (low); not a TOI, CTOI, confirmed host or known EB; a 2.0 R_earth planet at P = 5 d should reach SNR 10 (predicted)"
2573,1,198516577,236.666463382413,64.2118870773993,14.8259,3018.0,5.0739,0.19456,0.00603044,0.16366,22.2219,DWARF,0.000790968654,1640389297586878336,15,14 15 16 17 18 21 22 23 24 41 48 49 50 51 54,7532,1.5,1.99,2.24,"late M dwarf, R 0.19 R_sun, Teff 3018 K, Tmag 14.83; 15 TGLC sectors (S14-S54); contamination 0.00 (low); not a TOI, CTOI, confirmed host or known EB; a 2.0 R_earth planet at P = 5 d should reach SNR 10 (predicted)"
2574,1,219773728,263.322355753482,62.9059882198765,15.029,3003.0,5.06443,0.199703,0.00613073,0.168705,21.1824,DWARF,0.005637244,1440175553089459968,24,14 15 16 17 18 19 20 21 22 23 24 25 26 40 41 47 48 49 50 51 52 53 54 55,9118,1.5,1.99,2.24,"late M dwarf, R 0.20 R_sun, Teff 3003 K, Tmag 15.03; 24 TGLC sectors (S14-S55); contamination 0.01 (low); not a TOI, CTOI, confirmed host or known EB; a 2.0 R_earth planet at P = 5 d should reach SNR 10 (predicted)"
2575,1,229669951,251.727243449884,74.3254679385616,15.0329,3067.0,5.06471,0.199544,0.00627222,0.168548,21.2133,DWARF,0.019287508,1654781702932625792,24,14 15 16 17 18 19 20 21 22 23 24 25 26 40 41 47 48 49 50 51 52 53 54 55,9153,1.51,1.99,2.24,"late M dwarf, R 0.20 R_sun, Teff 3067 K, Tmag 15.03; 24 TGLC sectors (S14-S55); contamination 0.02 (low); not a TOI, CTOI, confirmed host or known EB; a 2.0 R_earth planet at P = 5 d should reach SNR 10 (predicted)"
2576,1,284361294,288.124427291242,55.2022605942545,13.0646,3462.0,4.85303,0.371719,0.011094,0.359245,6.99434,DWARF,0.0187762361,2141005123629015424,11,14 15 16 23 26 40 41 49 53 54 55,2144,1.51,2.0,2.25,"M dwarf, R 0.37 R_sun, Teff 3462 K, Tmag 13.06; 11 TGLC sectors (S14-S55); contamination 0.02 (low); not a TOI, CTOI, confirmed host or known EB; a 2.0 R_earth planet at P = 5 d should reach SNR 10 (predicted)"
2577,1,394680309,54.1408081282569,-82.4250783911792,13.0999,3286.0,4.91641,0.308529,0.00942503,0.286372,9.75085,DWARF,0.0809523538,4619011656383416704,6,1 12 13 27 28 39,2183,1.51,2.0,2.25,"M dwarf, R 0.31 R_sun, Teff 3286 K, Tmag 13.10; 6 TGLC sectors (S1-S39); contamination 0.08 (low); not a TOI, CTOI, confirmed host or known EB; a 2.0 R_earth planet at P = 5 d should reach SNR 10 (predicted)"
